player_name,player_number,count,avg(spi_score)
Jonathan Sirois,40,13,6.623076923076923
Chris Brady,34,13,6.623076923076923
Sebastian Kowalczyk,27,18,6.622222222222221
Drake Callender,1,19,6.621052631578947
Kevin Long,5,5,6.62
Patrick Schulte,28,16,6.6187499999999995
Peyton Miller,25,12,6.616666666666667
Omar Campos,2,15,6.613333333333333
Teemu Pukki,22,10,6.609999999999999
Dylan Borrero,11,13,6.607692307692308
Dax McCarty,13,16,6.60625
Matt Freese,49,24,6.604166666666667
Tom Pearce,46,7,6.6000000000000005
Fernando Álvarez,4,9,6.6000000000000005
Victor Wanyama,2,3,6.6000000000000005
Nacho Gil,21,7,6.6000000000000005
Efrain Morales,21,1,6.6
Ariel Lassiter,11,4,6.6
Isaiah Parente,52,2,6.6
Jaylin Lindsey,24,1,6.6
Lawson Sunderland,43,1,6.6
Rudy Camacho,4,18,6.594444444444445
Nicolás Lodeiro,14,24,6.591666666666666
Raul Ruidiaz,9,11,6.590909090909091
Kévin Cabral,91,8,6.5875
Sean Johnson,1,8,6.5875
Wikelman Carmona,19,7,6.585714285714286
Tim Leibold,14,14,6.585714285714286
Jannes-Kilian Horn,38,14,6.5857142857142845
Strahinja Tanasijevic,12,7,6.5857142857142845
Zac McGraw,18,6,6.583333333333333
Birk Risa,5,11,6.581818181818182
Andrew Brody,2,9,6.577777777777778
Danley Jean Jacques,21,8,6.575
Miguel Araujo,2,8,6.575
Brooklyn Raines,35,13,6.56923076923077
Matti Peltola,4,19,6.568421052631579
Kevin Kelsy,19,12,6.566666666666666
Franco Fragapane,7,6,6.566666666666666
Olivier Giroud,9,20,6.5649999999999995
Rasmus Alm,21,14,6.564285714285715
Raheem Edwards,44,8,6.5625
Benjamin Kikanovic,28,5,6.5600000000000005
Nathan Saliba,19,10,6.5600000000000005
Indiana Vassilev,19,12,6.558333333333334
Tyrese Spicer,16,7,6.557142857142857
Boris Enow,5,11,6.554545454545456
Chris Mueller,8,11,6.554545454545456
Reed Baker-Whiting,21,16,6.55
Ján Gregus,21,2,6.55
Tayvon Gray,24,15,6.546666666666667
Prince Osei Owusu,99,9,6.544444444444445
Jackson Yueill,14,17,6.541176470588234
Alessandro Schöpf,8,20,6.540000000000001
Sigurd Rosted,17,10,6.540000000000001
Brandon Servania,23,3,6.533333333333334
Brent Kallman,44,3,6.533333333333334
Forster Ajago,21,6,6.533333333333332
Orrin McKinze Gaines,17,3,6.533333333333332
Robert Castellanos,19,7,6.528571428571429
Walker Zimmerman,25,15,6.526666666666667
Duncan McGuire,13,21,6.5238095238095255
Alex Bono,24,18,6.522222222222222
Matt Hedges,2,5,6.5200000000000005
Kwadwo Opoku,7,10,6.5200000000000005
David Schnegg,28,5,6.5200000000000005
Cristian Dajome,11,20,6.515000000000001
Maikel Chang Ramirez,16,7,6.514285714285714
Mark-Anthony Kaye,28,8,6.512500000000001
Diego Rubio,14,18,6.511111111111112
Eric Miller,15,9,6.51111111111111
Alhassan Yusuf,80,11,6.509090909090909
Miguel Tapias,4,11,6.509090909090909
Ema Twumasi,22,14,6.507142857142857
Andres Perea,8,20,6.505
Pedro De la Vega,10,26,6.503846153846153
Brecht Dejaeghere,10,5,6.5
Steven Birnbaum,15,2,6.5
Jeremy Rafanello,14,4,6.5
Hosei Kijima,85,7,6.5
Federico Navarro,31,7,6.5
Andrew Farrell,88,1,6.5
Finn Surman,20,3,6.5
Conner Antley,12,1,6.5
Michael Edwards,34,2,6.5
Noel Caliskan,92,3,6.5
